PartNo,pollingStation,NTKVotes2019,TotalVotes,PolledVotes,NTKpercentage,BoothAdress,Panchayat,UnionBlocks,Hamlets,Male,Female,TotalVotes,ThirdGender,MainTownOrVillage ,Mandalam ,Birga ,PoliceStation,Taluk ,District,Pincode,PageNo ,Thoguthi ,Status ,OverlapPartNo ,Scope 
210-34,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, வெள்ளையாபுரம்",5,595,396,1.3,மேற்கு பகுதி,வெள்ளையாபுரம்,திருவாடனை ,"வெள்ளையாபுரம் புதுத்தெரு,வடக்குதெரு (வார்டு 1)",310,285,595,,வெள்ளையாபுரம்,புல்லூர் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623315,23,210,,,
210-35,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, வெள்ளையாபுரம்",4,781,500,0.8,"கிழக்கு பக்கம், புதிய கட்டிடம்,",வெள்ளையாபுரம்,திருவாடனை ,"வில்லாரேந்தல் மேலத்தெரு,நடுதெரு,கிழக்குதெரு,பள்ளிவாசல் (வார்டு 2)",354,427,781,,வெள்ளையாபுரம்,புல்லூர் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623315,29,210,,,
210-36,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, வெள்ளையாபுரம்",20,778,518,3.9,வடக்குப் பக்கம் - நடுப்பகுதி,வெள்ளையாபுரம்,திருவாடனை ,"வெள்ளையாபுரம் வில்லாரேந்தல் (வார்டு 3)
மண்டலகோட்டை வில்லாரேந்தல்(சன்னதி தெரு,புனித செபஸ்தியார் ஆலயம் (வார்டு 3)",389,389,778,,மண்டலகோட்டை,புல்லூர் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623315,29,210,,,
210-37,"புனிதஅருளானந்தர் மேல்நிலைப்பள்ளி,  ஓரியூர்",54,1173,799,6.8,புதுக்கட்டிடம்,ஓரியூர்,திருவாடனை ,"புல்லூர்(வார்டு 3)
மருதன்வயல்(வார்டு 3)
புலியூர்,காடுவெட்டி,முஸ்லிம் குடியிருப்பு(வார்டு 3)
பட்டமங்கலம்(வார்டு 3)",591,580,1171,,ஓரியூர்,ஓரியூர்,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623406,44,210,,,
210-38,"புனிதஅருளானந்தர் மேல்நிலைப்பள்ளி,  ஓரியூர்",19,833,562,3.4,கிழக்குப்பகுதி,ஓரியூர்,திருவாடனை ,"ஓரியூர்,திட்டை,புதுவயல் (வார்டு 1)
திட்டை,புதுவயல் (வார்டு 1)
ஓரியூர் திட்டை (வார்டு 1)",416,417,833,,ஓரியூர்,ஓரியூர்,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623406,33,210,,,
210-39,"புனிதஅருளானந்தர் மேல்நிலைப்பள்ளி,  ஓரியூர்",17,743,496,3.4,மேற்குப்பகுதி,ஓரியூர்,திருவாடனை ,"ஓரியூர் மேலக்குடியிருப்பு (வார்டு 1)
ஓரியூர் கீழக்குடியிருப்பு (வார்டு 1)",363,379,742,,ஓரியூர்,ஓரியூர்,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623406,29,210,,,
210-40,"பஞ்சாயத்து யூனியன் தொடக்கப்பள்ளி, சுந்தரபாண்டியபட்டிணம்.",6,1112,580,1,கிழக்குப்பக்கம் - வடக்குப்பகுதி,சுந்தரபாண்டியபட்டிணம்,திருவாடனை ,"சுந்தரபாண்டியபட்டிணம் (வார்டு 1)
சுந்தரபாண்டியபட்டிணம் (வார்டு 3)",570,539,1109,,சுந்தரபாண்டியபட்டிணம்,S P பட்டிணம் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623406,40,210,,,
210-41,"பஞ்சாயத்து யூனியன் தொடக்கப்பள்ளி, சுந்தரபாண்டியபட்டிணம்.",7,1113,559,1.3,கிழக்குப்பக்கம் - தெற்குப்பகுதி,சுந்தரபாண்டியபட்டிணம்,திருவாடனை ,சுந்தரபாண்டியபட்டிணம் (வார்டு 2),572,541,1113,,சுந்தரபாண்டியபட்டிணம்,S P பட்டிணம் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623406,41,210,,,
210-42,"அரசு மேல்நிலைப்பள்ளி, சுந்தரபாண்டியபட்டிணம்",8,1062,580,1.4,புதிய கட்டிடம் - கிழக்குப்பக்கம்,சுந்தரபாண்டியபட்டிணம்,திருவாடனை ,சுந்தரபாண்டியபட்டிணம் வார்டு 3,557,503,1061,1,சுந்தரபாண்டியபட்டிணம்,S P பட்டிணம் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623406,38,210,,,
210-43,"அரசு மேல்நிலைப்பள்ளி, சுந்தரபாண்டியபட்டிணம்",3,733,405,0.7,புதிய கட்டிடம் - மேற்குப்பக்கம்,சுந்தரபாண்டியபட்டிணம்,திருவாடனை ,சுந்தரபாண்டியபட்டிணம் வார்டு4-1,371,361,732,,சுந்தரபாண்டியபட்டிணம்,S P பட்டிணம் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623406,27,210,,,
210-44,"அரசு மேல்நிலைப்பள்ளி, சுந்தரபாண்டியபட்டிணம்",13,772,438,3,மேற்குப்பக்கம் - வட்டார வளமையக்கட்டிடம்,சுந்தரபாண்டியபட்டிணம்,திருவாடனை ,சுந்தரபாண்டியபட்டிணம் வார்டு4-2,366,406,772,,சுந்தரபாண்டியபட்டிணம்,S P பட்டிணம் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623406,27,210,,,
210-45,"ஊராட்சி ஒன்றிய நடு நிலைப்பள்ளி,  பனஞ்சாயல்",21,808,531,4,பழையகட்டிடம் - வடக்குப்பகுதி,பனஞ்சாயல்,திருவாடனை ,"பனஞ்சாயல் வார்டு 1
விருதன்வயல் வார்டு 2",413,394,808,1,பனஞ்சாயல்,மல்லனுர் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623315,32,210,,,
210-46,"ஊராட்சி ஒன்றிய நடு நிலைப்பள்ளி,  பனஞ்சாயல்",25,719,497,5,பழையகட்டிடம் - தெற்குப்பகுதி,பனஞ்சாயல்,திருவாடனை ,"நாவலூர் வார்டு 1
அடஞ்சான் மங்கலம் வார்டு 2
புதுக்குடி வார்டு 2
குஞ்சரன்வயல் வார்டு 2",361,357,719,1,வட்டாணம் ,வட்டாணம் ,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623315,29,210,,,
210-47,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, இளங்குன்றம்",36,895,562,6.4,,டி.நாகனி ,திருவாடனை ,"இளங்குன்றம் புல்லாவயல் வார்டு 1
அல்லிக்கோட்டை வார்டு 1
வழிமுத்தூர் வார்டு 2",449,446,895,,இளங்குன்றம் புல்லாவயல்,டி.நாகனி ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,630312,35,210,,,
210-48,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, ஆதியாகுடி",5,316,212,2.4,,டி.நாகனி ,திருவாடனை ,ஆதியாகுடி வார்டு 3,159,157,316,,டி.நாகனி ,டி.நாகனி ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,630312,14,210,,,
