PartNo,pollingStation,NTKVotes2019,TotalVotes,PolledVotes,NTKpercentage,BoothAdress,Panchayat,UnionBlocks,Hamlets,Male,Female,TotalVotes,ThirdGender,MainTownOrVillage ,Mandalam ,Birga ,PoliceStation,Taluk ,District,Pincode,PageNo ,Thoguthi ,Status ,OverlapPartNo ,Scope 
210-261,"அரிஜன பள்ளி, சித்தூர்",66,566,360,18.3,,சித்தூர்,இராம்நாடு,சித்தூர்,280,286,566,,கொட்டகை ,வன்னிவயல்,இராமநாதபுரம் ,இராமநாதபுரம் பஜார் PS ,இராமநாதபுரம் ,இராமநாதபுரம் ,623501,22,210,,,1
210-262,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, வடக்குக் கட்டிடம் பகுதி (சி ஆர் சி) கட்டிடம்) சூரங்கோட்டை",18,896,581,3.1,,சூரங்கோட்டை,இராம்நாடு,சூரங்கோட்டை-1 (வார்டு 1),439,456,896,1,சூரங்கோட்டை,சூரங்கோட்டை,இராமநாதபுரம் ,இராமநாதபுரம் பஜார் PS ,இராமநாதபுரம் ,இராமநாதபுரம் ,623501,32,210,,,1
210-263,"வாசன் நர்சரி ஆரம்ப்பள்ளி, தெற்கு பகுதிக் கட்டிடம் சூரங்கோட்டை",10,496,310,3.2,,சூரங்கோட்டை,இராம்நாடு,சூரங்கோட்டை-2 (வார்டு 1),261,235,496,,சூரங்கோட்டை,சூரங்கோட்டை,இராமநாதபுரம் ,இராமநாதபுரம் பஜார் PS ,இராமநாதபுரம் ,இராமநாதபுரம் ,623501,20,210,,,1
210-264,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, கிழக்கு கட்டிடம் வடக்கு பகுதி முதுனாள்",11,957,781,1.4,,சூரங்கோட்டை,இராம்நாடு,"முதுனாள் (வார்டு 2)
முதுனாள் (வார்டு 3)",484,473,957,,சூரங்கோட்டை,சூரங்கோட்டை,இராமநாதபுரம் ,இராமநாதபுரம் பஜார் PS ,இராமநாதபுரம் ,இராமநாதபுரம் ,623501,37,210,,,1
210-265,"ஊராட்சி ஒன்றிய குழந்தைகள் நல மையம், இடையர் வலசை",47,1122,818,5.7,,சூரங்கோட்டை,இராம்நாடு,"இடையர் வலசை
களத்தாவூர்",545,577,1122,,சூரங்கோட்டை,சூரங்கோட்டை,இராமநாதபுரம் ,இராமநாதபுரம் பஜார் PS ,இராமநாதபுரம் ,இராமநாதபுரம் ,623501,40,210,,,1
210-266,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  சூரங்கோட்டை",38,585,460,8.3,தெற்கு கட்டிடம் மேற்கு பகுதி கே கே நகர்,சூரங்கோட்டை,இராம்நாடு,"கொட்டகை
கே கே நகர், மீனாட்சிபுரம்-1",314,271,585,,சூரங்கோட்டை,சூரங்கோட்டை,இராமநாதபுரம் ,இராமநாதபுரம் பஜார் PS ,இராமநாதபுரம் ,இராமநாதபுரம் ,623501,23,210,,,1
210-267,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  சூரங்கோட்டை",27,733,605,4.5,தெற்கு கட்டிடம் கிழக்கு பகுதி,சூரங்கோட்டை,இராம்நாடு,"கே கே நகர், மீனாட்சிபுரம்-2",365,368,733,,சூரங்கோட்டை,சூரங்கோட்டை,இராமநாதபுரம் ,இராமநாதபுரம் பஜார் PS ,இராமநாதபுரம் ,இராமநாதபுரம் ,623501,27,210,,,1
210-268,"ஊராட்சி ஓன்றிய தொடக்கப்பள்ளி, தெற்குப்பக்கம் சூரங்கோட்டை காலனி",81,789,557,14.5,,சூரங்கோட்டை,இராம்நாடு,"மீனாட்சிபுரம்
சூரங்கோட்டை காலணி",368,421,789,,சூரங்கோட்டை,சூரங்கோட்டை,இராமநாதபுரம் ,இராமநாதபுரம் பஜார் PS ,இராமநாதபுரம் ,இராமநாதபுரம் ,623501,29,210,,,1
210-269,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  பேராவூர்",24,802,539,4.5,"கிழக்கு கட்டிடம், தெற்குப் பக்கம்",இளமனூர்,இராம்நாடு,"மஞ்சலோடை (வார்டு 1)
பழங்குளம் (வார்டு 1)
பேராவூர் (வார்டு 1)",395,407,802,,பட்டிணம்காத்தான்,பழங்குளம்,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,32,210,,269,1
210-269,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  பேராவூர்",,,,#DIV/0!,"கிழக்கு கட்டிடம், தெற்குப் பக்கம்",பேராவூர்,இராம்நாடு,"மஞ்சலோடை (வார்டு 1)
பழங்குளம் (வார்டு 1)
பேராவூர் (வார்டு 1)",,,0,,,,,,,,,,210,,269,1
210-270,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  பேராவூர்",45,721,556,8.1,கிழக்கு கட்டிடம் வடக்குப்பக்கம்,பேராவூர்,இராம்நாடு,பேராவூர் மேற்கு ஆதிதிராவிடர் காலனி (வார்டு 2),362,359,721,,பட்டிணம்காத்தான்,பழங்குளம்,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,27,210,,,1
210-271,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  பேராவூர்",43,617,519,8.3,தெற்கு கட்டிடம் வடக்குப்பக்கம்,பேராவூர்,இராம்நாடு,பேராவூர் கிழக்கு ஆதிதிராவிடர் காலனி(வார்டு 3),292,325,617,,பட்டிணம்காத்தான்,பழங்குளம்,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,24,210,,,1
210-272,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  மேலக்கோட்டை",14,762,507,2.8,வடக்கு கட்டிடம் மேற்கு பகுதி,மாடக்கொட்டான்,இராம்நாடு,"தில்லைநாயகபுரம்(வார்டு 5)
மாயவரம் (வார்டு 3)",382,380,762,,பட்டிணம்காத்தான்,பழங்குளம்,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,28,210,,,1
210-273,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, இளமனூர்",5,725,535,0.9,,இளமனூர்,இராம்நாடு,இளமனூர் (வார்டு 1),355,370,725,,பட்டிணம்காத்தான்,பழங்குளம்,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,27,210,,,1
210-274,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  மேலக்கோட்டை",70,1231,909,7.7,"தெற்குக் கட்டிடம், மேற்கு பகுதி",மாடக்கொட்டான்,இராம்நாடு,"காட்டூரணி தங்கப்பாபுரம்
சாலைக்குடியிருப்பு",646,584,1230,,பட்டிணம்காத்தான்,களுகூரணி,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,43,210,,,1
210-275,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, மேலக்கோட்டை",2,443,253,0.8,வடக்கு கட்டிடம் கிழக்கு பகுதி,பேராவூர்,இராம்நாடு,மாடக்கொட்டான்,227,216,443,,பட்டிணம்காத்தான்,களுகூரணி,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,18,210,,,1
210-276,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, மேலக்கோட்டை",8,779,515,1.6,தெற்கு பகுதி கட்டிடம் கிழக்கு பகுதி,பேராவூர்,இராம்நாடு,மேலக்கோட்டை மாடக்கொட்டான்,380,399,779,,பட்டிணம்காத்தான்,களுகூரணி,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,29,210,,276,1
210-276,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, மேலக்கோட்டை",,,,#DIV/0!,தெற்கு பகுதி கட்டிடம் கிழக்கு பகுதி,மாடக்கொட்டான்,இராம்நாடு,ரம்லான் நகர்,,,0,,,,,,,,,,210,,276,1
210-277,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி,  கழுகூரணி",28,986,717,3.9,மேற்கு கட்டிடம்,டி.கழுகூரணி,இராம்நாடு,"கழுகூரணி வடக்கு
கழுகூரணி தெற்கு",488,498,986,,பட்டிணம்காத்தான்,களுகூரணி,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,36,210,,,1
210-278,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, கழுகூரணி",13,492,353,3.7,கிழக்கு கட்டிடம்,டி.கழுகூரணி,இராம்நாடு,சடையன் வலசை,248,244,492,,பட்டிணம்காத்தான்,களுகூரணி,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,21,210,,,1
210-279,"கண்ணன் தொடக்கப்பள்ளி,,  அச்சுந்தன்வயல்",10,515,364,2.7,வடக்கு பக்கம்,அச்சுந்தன்வயல்,இராம்நாடு,அச்சுந்தன் வயல்,252,263,515,,அச்சுந்தன்வயல்,அச்சுந்தன்வயல்,இராமநாதபுரம் ,இராமநாதபுரம் பஜார் PS ,இராமநாதபுரம் ,இராமநாதபுரம் ,623501,21,210,,,1
210-280,"கண்ணன் தொடக்கப்பள்ளி,,  அச்சுந்தன்வயல்",27,854,574,4.7,தெற்கு பக்கம்,அச்சுந்தன்வயல்,இராம்நாடு,அச்சுந்தன் வயல்,431,423,854,,அச்சுந்தன்வயல்,அச்சுந்தன்வயல்,இராமநாதபுரம் ,இராமநாதபுரம் பஜார் PS ,இராமநாதபுரம் ,இராமநாதபுரம் ,623501,32,210,,,1
210-281,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, தெற்கு பகுதி கட்டிடம் நொச்சிவயல்",26,390,293,8.9,,அச்சுந்தன்வயல்,இராம்நாடு,நொச்சிவயல்,185,205,390,,அச்சுந்தன்வயல்,அச்சுந்தன்வயல்,இராமநாதபுரம் ,இராமநாதபுரம் பஜார் PS ,இராமநாதபுரம் ,இராமநாதபுரம் ,623501,15,210,,,1
210-282,"ஊராட்சி ஓன்றிய நடுநிலைப்பள்ளி, தெற்குக்கட்டிடம் புத்தேந்தல்",35,1087,772,4.5,,புத்தேந்தல்,இராம்நாடு,"புத்தேந்தல் (தெற்கு)
புத்தேந்தல் (வடக்கு)
கிழக்குத்தெரு
மேற்குத்தெரு",545,542,1087,,கூரியூர் ,கூரியூர் ,இராமநாதபுரம் ,இராமநாதபுரம் பஜார் PS ,இராமநாதபுரம் ,இராமநாதபுரம் ,623501,41,210,,,1
210-283,"தேவேந்திரகுல பூவைசியர் ஆரம்பப்பள்ளி, கூரியூர்",23,658,467,4.9,,புத்தேந்தல்,இராம்நாடு,"கூரியூர் கிழக்கு தெரு
கூரியூர் மேற்கு தெரு
கூரியூர் தெற்கு தெரு
மல்லிகை நகர்",319,339,658,,கூரியூர் ,கூரியூர் ,இராமநாதபுரம் ,இராமநாதபுரம் பஜார் PS ,இராமநாதபுரம் ,இராமநாதபுரம் ,623501,26,210,,,1
210-284,"சமுதாயக்கூடம் , மேலசோத்தூரணி, சக்கரக்கோட்டை",27,1050,644,4.2,வடக்குப் பகுதி,சக்கரக்கோட்டை,இராம்நாடு,"சிவஞானபுரம் கிழக்கு பகுதி
வ. உ. சி. நகர் கிழக்கு பகுதி",544,506,1050,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,39,210,,,1
210-285,"சமுதாயக்கூடம்,  மேலசோத்தூரணி, சக்கரக்கோட்டை",36,900,527,6.8,தெற்குப்பகுதி,சக்கரக்கோட்டை,இராம்நாடு,நேரு நகர்,458,442,900,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,33,210,,,1
210-286,"நூலக கட்டிடம், மேலசோத்தூரணி, சக்கரக்கோட்டை",23,590,335,6.9,,சக்கரக்கோட்டை,இராம்நாடு,மகாசக்தி நகர் மேற்கு பகுதி,294,296,590,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,23,210,,,1
210-287,"மாவட்ட தொடக்கக் கல்வி திட்ட கூட்ட அரங்கம், கீழசோத்தூரணி, சக்கரக்கோட்டை",18,656,375,4.8,,சக்கரக்கோட்டை,இராம்நாடு,"வ. உ. சி நகர் மேற்கு பகுதி
அருள் நகர்",322,334,656,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,26,210,,,1
210-288,"நர்மதா தொடக்க பள்ளி,  மகாசக்தி நகர் இராமநாதபுரம்",18,800,480,3.8,கிழக்கு பகுதி கட்டிடம்,சக்கரக்கோட்டை,இராம்நாடு,மகாசக்தி நகர் கிழக்கு பகுதி,413,387,800,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,30,210,,,1
210-289,"நர்மதா தொடக்க பள்ளி, மகாசக்தி நகர் இராமநாதபுரம்",10,475,258,3.9,மையக்கட்டிடம்,சக்கரக்கோட்டை,இராம்நாடு,நேரு நகர் கிழக்கு பகுதி,239,236,475,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,19,210,,,1
210-290,"வட்டார வள மையம், தெற்குக் கட்டிடம் கீழசோத்தூரணி சக்கரக்கோட்டை இராமநாதபுரம்",16,1022,495,3.2,,சக்கரக்கோட்டை,இராம்நாடு,பாரதி நகர் தெற்கு,517,505,1022,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,38,210,,,1
210-291,"ஒருங்கிணைந்த குழந்தைகள் வளச்சி திட்ட அலுவலகம், கீழசோத்தூரணி சக்கரக்கோட்டை இராமநாதபுரம்",13,595,236,5.5,,சக்கரக்கோட்டை,இராம்நாடு,காவலர் குடியிருப்பு,296,299,595,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,24,210,,,1
210-292,"அரசு உயர்நிலைப்பள்ளி,  சக்கரக்கோட்டை",28,739,540,5.2,மேற்கு பகுதி கட்டிடம் 10-ம் வகுப்பு அறை,சக்கரக்கோட்டை,இராம்நாடு,சோத்தூரணி,378,361,739,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,28,210,,,1
210-293,"அரசு உயர்நிலைப்பள்ளி,  சக்கரக்கோட்டை",15,537,343,4.4,மேற்கு பகுதி கட்டிடம் 9-ம் வகுப்பு அறை,சக்கரக்கோட்டை,இராம்நாடு,சக்கரக்கோட்டை வடக்கு,260,277,537,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,21,210,,,1
210-294,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  சக்கரக்கோட்டை",35,939,622,5.6,வடக்கு பக்கம் கிழக்கு பகுதி,சக்கரக்கோட்டை,இராம்நாடு,சக்கரக்கோட்டை,462,473,935,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,34,210,,,1
210-295,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  சக்கரக்கோட்டை",34,1116,800,4.3,மேற்கு பகுதி வடக்கு கட்டிடம்,சக்கரக்கோட்டை,இராம்நாடு,"சேது நகர்
சக்கரக்கோட்டைசேது நகர்",536,580,1116,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,42,210,,,1
210-296,"அரசு உயர்நிலைப்பள்ளி,  சக்கரக்கோட்டை",21,813,586,3.6,தெற்கு பகுதி கட்டிடம்,சக்கரக்கோட்டை,இராம்நாடு,பசும்பொன் நகர்,415,398,813,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,30,210,,,1
210-297,"ஊராட்சி ஒன்றிய சமுதாயக்கூடம், வாணி",15,1208,721,2.1,,சக்கரக்கோட்டை,இராம்நாடு,"வாணி வடக்கு
வாணி தெற்கு",580,626,1206,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,43,210,,,1
210-298,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, காரிக்கூட்டம்",2,456,258,0.8,,சக்கரக்கோட்டை,இராம்நாடு,காரிக் கூட்டம்,224,232,456,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,19,210,,,1
210-299,"உதவிபெறும் தொடக்கப்பள்ளி, மேற்குப்பக்கம் தெற்குத்தரவை",30,1171,833,3.6,,தெற்குத்தரவை,இராம்நாடு,"அம்மன் கோவில்
முடுக்குத் தரவை
சுப்புத்தேவன் வலசை",595,576,1171,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,43,210,,,1
210-300,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி,  வைரவன்கோவில்",34,811,597,5.7,கிழக்கு கட்டிடம் வடக்கு பகுதி,தெற்குத்தரவை,இராம்நாடு,"ஊரணிக்காரன் வலசை
மங்களக்குடியான் வலசை",389,419,808,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,30,210,,,1
210-301,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, வைரவன்கோவில்",12,443,301,4,கிழக்கு கட்டிடம் தெற்கு பகுதி,தெற்குத்தரவை,இராம்நாடு,"விக்கிரபாண்டி வலசை
வைரவன் கோவில்",229,213,442,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,20,210,,,1
210-302,"பஞ்சாயத்து கட்டிடம், தெற்குத்தரவை",19,1017,757,2.5,,தெற்குத்தரவை,இராம்நாடு,"தெற்குத் தரவை
தெற்குத் தரவை காலணி",510,507,1017,,சக்கரக்கோட்டை,சக்கரக்கோட்டை,இராமநாதபுரம் ,கேணிக்கரை ,இராமநாதபுரம் ,இராமநாதபுரம் ,623503,37,210,,,1
210-303,"ஊராட்சி ஒன்றியத் நடுநிலைப்பள்ளி,  தேர்போகி.",120,570,394,30.5,கூடுதல் புதிய கட்டிடம் மேற்குப்பகுதி,தேர்போகி,மண்டபம் ,"தேர்போகி வடக்குதெரு
தேர்போகி மாமரத்து தெரு",295,275,570,,தேர்போகி,தேர்போகி,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,23,210,,,1
210-304,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி,  தேர்போகி",27,996,646,4.2,கிழக்குப்பகுதி மேற்குப்பக்கம்,தேர்போகி,மண்டபம் ,"தேர்போகி தெற்குதெரு
நல்லதம்பி வலசைதெரு",505,491,996,,தேர்போகி,தேர்போகி,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,36,210,,,1
210-305,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி,  தேர்போகி",20,741,539,3.7,கிழக்குப்பகுதி கிழக்குப்பக்கம்,தேர்போகி,மண்டபம் ,"மாடசாமி கோவில்தெரு
தேர்போகி காலணிதெரு
பழைய தேர்போகி",367,374,741,,தேர்போகி,தேர்போகி,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,29,210,,,1
210-306,"அரபி ஒலியுல்லா உதவி பெறும் உயர்நிலைப் பள்ளி, , புதுவலசை",12,614,456,2.6,முன்பகுதி கட்டிடம்,புதுவலசை,மண்டபம் ,"கடற்கரை சத்திரம் (வார்டு 1)
தாவுகாடு
புதுவலசை நாடார்தெரு",308,306,614,,தேர்போகி,தேர்போகி,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,24,210,,,1
210-307,"அரபி ஒலியுல்லா உதவி பெறும் உயர்நிலைப் பள்ளி, புதுவலசை",4,650,411,1,தெற்கு கட்டிடம் கிழக்குப் பகுதி,புதுவலசை,மண்டபம் ,"புதுவலசை மேற்குத்தெரு, கிழக்குதெரு",325,325,650,,தேர்போகி,தேர்போகி,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,24,210,,,1
210-308,"அரபி ஒலியுல்லா உதவி பெறும் உயர்நிலைப் பள்ளி,  புதுவலசை",8,681,443,1.8,தெற்குகட்டிடம் மேற்குக் பகுதி,புதுவலசை,மண்டபம் ,"புதுவலசை மேற்குதெரு, கிழக்குதெரு",342,339,681,,தேர்போகி,தேர்போகி,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,26,210,,,1
210-309,"அரபி ஒலியுல்லா உதவி பெறும் உயர்நிலைப் பள்ளி, , புதுவலசை",8,708,438,1.8,தெற்குகட்டிடம் மேற்கு பகுதி,புதுவலசை,மண்டபம் ,புதுவலசை தெற்குதெரு,363,345,708,,தேர்போகி,தேர்போகி,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,27,210,,,1
210-310,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, சோகையன்தோப்பு",55,1200,934,5.9,,பனைக்குளம் ,மண்டபம் ,"புதுக்குடியிருப்பு கடற்கரை வலசை
சோகையன்தோப்பு",579,621,1200,,அழகன் குளம் ,அழகன் குளம் ,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,43,210,,,1
210-311,"பகுருதீன் பஞ்சாயத் தொடக்கப்பள்ளி, கிழக்குகட்டிடம் வடக்கு பக்கம் பனைக்குளம்",15,832,513,2.9,,பனைக்குளம் ,மண்டபம் ,பனைக்குளம் அண்ணா நகர்-1,417,415,832,,அழகன் குளம் ,அழகன் குளம் ,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,31,210,,,1
210-312,"அரசு பெண்கள் மேல்நிலைப்பள்ளி, பனைக்குளம்",18,1179,797,2.3,தெற்கு பகுதி,பனைக்குளம் ,மண்டபம் ,"பனைக்குளம் மேற்குதெரு
பனைக்குளம் மேற்குதெரு 2",561,618,1179,,அழகன் குளம் ,அழகன் குளம் ,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,41,210,,,1
210-313,"அரசு பெண்கள் மேல்நிலைப்பள்ளி,  பனைக்குளம்",9,793,470,1.9,மேற்குக் கட்டிடம் மைய பகுதி,பனைக்குளம் ,மண்டபம் ,"பனைக்குளம் கிழக்குதெரு
கிழக்குத்தெரு",397,396,793,,அழகன் குளம் ,அழகன் குளம் ,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,30,210,,,1
210-314,"பகுருதீன் பஞ்சாயத் தொடக்கப்பள்ளி, கிழக்குகட்டிடம் வடக்கு பக்கம் பனைக்குளம்",15,877,535,2.8,,பனைக்குளம் ,மண்டபம் ,"பனைக்குளம் மேற்கு தெரு
பனைக்குளம் அண்ணா நகர்-2",384,493,877,,அழகன் குளம் ,அழகன் குளம் ,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,33,210,,,1
210-315,"அரசு பெண்கள் மேல்நிலைப்பள்ளி, பனைக்குளம்",21,1228,804,2.6,வடக்கு கட்டிடம் மேற்கு பக்கம்,பனைக்குளம் ,மண்டபம் ,"பனைக்குளம் மேற்கு
பனைக்குளம்",590,638,1228,,அழகன் குளம் ,அழகன் குளம் ,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,43,210,,,1
210-316,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, பொன்குளம்",35,936,666,5.3,,பனைக்குளம் ,மண்டபம் ,பொன்குளம் (வார்டு 12),465,470,935,,அழகன் குளம் ,அழகன் குளம் ,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,33,210,,,1
210-317,"அரசு பெண்கள் மேல்நிலைப்பள்ளி, பனைக்குளம்",9,569,322,2.8,வடக்கு கட்டிடம் கிழக்கு பக்கம்,பனைக்குளம் ,மண்டபம் ,பனைக்குளம் (வார்டு 10),255,314,569,,அழகன் குளம் ,அழகன் குளம் ,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,22,210,,,1
210-318,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  அழகன்குளம்",78,918,655,11.9,வடக்கு கட்டிடம் கிழக்குபகுதி,அழகன் குளம் ,மண்டபம் ,"நாடார் வலசை
கடற்கரை வலசை",428,490,918,,அழகன் குளம் ,அழகன் குளம் ,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,34,210,,,1
210-319,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  அழகன்குளம்",28,1185,796,3.5,வடக்கு கட்டிடம் மேற்கு பகுதி,அழகன் குளம் ,மண்டபம் ,"பாவடித்தெரு நடுத்தெரு
சாமித் தோப்பு
பள்ளிவாசல் தெரு",573,612,1185,,அழகன் குளம் ,அழகன் குளம் ,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,43,210,,,1
210-320,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  அழகன்குளம்",7,998,523,1.3,கிழக்கு பகுதி வடக்கு கட்டிடம்,அழகன் குளம் ,மண்டபம் ,"அழகன்குளம் வடக்கு தெரு
அழகன்குளம் நடுத்தெரு",484,513,997,,அழகன் குளம் ,அழகன் குளம் ,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,36,210,,,1
210-321,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  அழகன்குளம்",10,711,391,2.6,கிழக்கு பகுதி தெற்கு கட்டிடம்,அழகன் குளம் ,மண்டபம் ,"அழகன்குளம் வடக்கு தெரு
அழகன்குளம் பாவடித் தெரு",335,375,710,,அழகன் குளம் ,அழகன் குளம் ,பெருங்குளம் ,தேவிபட்டிணம் ,இராமநாதபுரம் ,இராமநாதபுரம் ,623514,27,210,,,1
